"nace_r2","Country","Year","consumption_of_capital","Output","intermediate_consumption","wages_and_salaries","real_labour_productivity","bankruptcy_declarations_index","Registrations"
"Agriculture, forestry and fishing","Austria",1995,95.716,84.365,86.846,NA,46.629,NA,NA
"Agriculture, forestry and fishing","Austria",1996,95.555,84.699,88.976,NA,47.988,NA,NA
"Agriculture, forestry and fishing","Austria",1997,95.834,87.588,91.775,NA,51.017,NA,NA
"Agriculture, forestry and fishing","Austria",1998,96.21,88.205,89.458,NA,55.259,NA,NA
"Agriculture, forestry and fishing","Austria",1999,96.292,90.905,89.741,NA,59.71,NA,NA
"Agriculture, forestry and fishing","Austria",2000,96.071,86.414,85.8,NA,58.506,NA,NA
"Agriculture, forestry and fishing","Austria",2001,95.669,87.969,88.203,NA,59.233,NA,NA
"Agriculture, forestry and fishing","Austria",2002,95.04,88.834,91.375,NA,59.237,NA,NA
"Agriculture, forestry and fishing","Austria",2003,94.134,87.111,91.459,NA,56.893,NA,NA
"Agriculture, forestry and fishing","Austria",2004,93.611,90.222,89.622,NA,64.641,NA,NA
"Agriculture, forestry and fishing","Austria",2005,93.833,89.411,89.219,NA,64.613,NA,NA
"Agriculture, forestry and fishing","Austria",2006,94.344,89.599,90.673,NA,65.634,NA,NA
"Agriculture, forestry and fishing","Austria",2007,94.988,95.343,92.921,NA,73.742,NA,NA
"Agriculture, forestry and fishing","Austria",2008,96.076,99.018,93.504,NA,80.424,NA,NA
"Agriculture, forestry and fishing","Austria",2009,97.129,94.04,90.356,NA,75.778,NA,NA
"Agriculture, forestry and fishing","Austria",2010,97.864,93.082,92.771,NA,72.065,NA,NA
"Agriculture, forestry and fishing","Austria",2011,98.721,99.5,93.048,NA,84.424,NA,NA
"Agriculture, forestry and fishing","Austria",2012,99.762,94.681,89.887,NA,83.495,NA,NA
"Agriculture, forestry and fishing","Austria",2013,100.852,91.694,89.766,NA,78.712,NA,NA
"Agriculture, forestry and fishing","Austria",2014,101.196,96.188,92.133,NA,82.213,NA,NA
"Agriculture, forestry and fishing","Austria",2015,100.565,94.586,92.375,NA,84.138,NA,NA
"Agriculture, forestry and fishing","Austria",2016,99.576,97.268,93.407,NA,90.958,NA,NA
"Agriculture, forestry and fishing","Austria",2017,98.853,97.601,94.728,NA,92.335,NA,NA
"Agriculture, forestry and fishing","Austria",2018,98.68,99.847,96.483,NA,101.472,NA,NA
"Agriculture, forestry and fishing","Austria",2019,99.05,100.39,98.455,NA,105.127,NA,NA
"Agriculture, forestry and fishing","Austria",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Austria",2021,103.023,102.535,99.821,NA,103.611,NA,NA
"Agriculture, forestry and fishing","Austria",2022,105.991,104.01,97.143,NA,114.613,NA,NA
"Agriculture, forestry and fishing","Austria",2023,107.539,102.014,95.89,NA,120.773,NA,NA
"Agriculture, forestry and fishing","Belgium",1995,85.127,68.144,70.791,NA,44.248,NA,NA
"Agriculture, forestry and fishing","Belgium",1996,82.776,69.453,73.021,NA,45.575,NA,NA
"Agriculture, forestry and fishing","Belgium",1997,81.829,70.555,73.58,NA,47.929,NA,NA
"Agriculture, forestry and fishing","Belgium",1998,80.444,70.093,71.166,NA,49.884,NA,NA
"Agriculture, forestry and fishing","Belgium",1999,78.666,69.954,70.599,NA,50.948,NA,NA
"Agriculture, forestry and fishing","Belgium",2000,76.735,72.668,72.088,NA,55.876,NA,NA
"Agriculture, forestry and fishing","Belgium",2001,73.944,68.952,69.398,NA,53.289,NA,NA
"Agriculture, forestry and fishing","Belgium",2002,71.095,73.879,72.921,NA,60.044,NA,NA
"Agriculture, forestry and fishing","Belgium",2003,70.197,73.541,73.845,NA,58.677,NA,NA
"Agriculture, forestry and fishing","Belgium",2004,69.069,77.822,77.523,NA,63.647,NA,NA
"Agriculture, forestry and fishing","Belgium",2005,67.912,74.227,73.008,NA,62.414,NA,NA
"Agriculture, forestry and fishing","Belgium",2006,67.874,74.855,70.439,NA,69.725,NA,NA
"Agriculture, forestry and fishing","Belgium",2007,70.656,75.6,71.679,NA,71.101,NA,NA
"Agriculture, forestry and fishing","Belgium",2008,74.345,77.693,74.569,NA,73.287,NA,NA
"Agriculture, forestry and fishing","Belgium",2009,63.324,81.478,78.192,NA,79.397,NA,NA
"Agriculture, forestry and fishing","Belgium",2010,70.531,83.641,78.244,NA,90.741,NA,NA
"Agriculture, forestry and fishing","Belgium",2011,78.819,86.506,82.074,NA,94.621,NA,NA
"Agriculture, forestry and fishing","Belgium",2012,87.345,86.392,81.272,NA,97.745,NA,NA
"Agriculture, forestry and fishing","Belgium",2013,92.353,85.229,82.871,NA,91.006,NA,NA
"Agriculture, forestry and fishing","Belgium",2014,94.619,90.849,87.999,NA,98.405,NA,NA
"Agriculture, forestry and fishing","Belgium",2015,89.17,96.118,89.75,NA,112.483,NA,NA
"Agriculture, forestry and fishing","Belgium",2016,92.525,96.739,93.573,NA,105.263,NA,NA
"Agriculture, forestry and fishing","Belgium",2017,95.249,98.252,93.762,NA,111.696,NA,NA
"Agriculture, forestry and fishing","Belgium",2018,97.352,93.845,91.528,NA,100.812,NA,NA
"Agriculture, forestry and fishing","Belgium",2019,98.413,96.603,93.611,NA,104.668,NA,NA
"Agriculture, forestry and fishing","Belgium",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Belgium",2021,102.753,101.246,102.147,NA,97.909,NA,NA
"Agriculture, forestry and fishing","Belgium",2022,105.926,98.12,97.493,NA,100.067,NA,NA
"Agriculture, forestry and fishing","Belgium",2023,109.797,95.624,93.35,NA,104.278,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1995,12.673,NA,NA,NA,89.786,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1996,22.289,NA,NA,NA,82.614,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1997,82.474,NA,NA,NA,121.552,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1998,44.702,NA,NA,NA,95.121,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1999,54.165,NA,NA,NA,96.075,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2000,41.971,NA,NA,NA,87.431,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2001,14.028,NA,NA,NA,89.357,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2002,16.422,NA,NA,NA,94.419,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2003,19.571,NA,NA,NA,93.636,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2004,23.647,NA,NA,NA,97.824,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2005,26.532,NA,NA,NA,90.876,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2006,28.628,NA,NA,NA,91.282,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2007,30.469,NA,NA,NA,67.382,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2008,35.309,NA,NA,NA,87.273,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2009,48.549,NA,NA,NA,79.511,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2010,58.299,NA,NA,NA,73.494,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2011,67.609,NA,NA,NA,80.05,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2012,75.295,NA,NA,NA,75.691,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2013,84.884,NA,NA,NA,77.547,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2014,91.814,NA,NA,NA,81.719,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2015,100.117,NA,NA,NA,77.328,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2016,107.659,NA,NA,NA,86.301,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2017,102.661,NA,NA,NA,87.98,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2018,100.792,NA,NA,NA,92,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2019,98.379,NA,NA,NA,104.612,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2020,100,NA,NA,NA,100,NA,NA
