DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,1995,46.629,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,1996,47.988,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,1997,51.017,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,1998,55.259,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,1999,59.710,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2000,58.506,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2001,59.233,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2002,59.237,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2003,56.893,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2004,64.641,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2005,64.613,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2006,65.634,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2007,73.742,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2008,80.424,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2009,75.778,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2010,72.065,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2011,84.424,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2012,83.495,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2013,78.712,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2014,82.213,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2015,84.138,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2016,90.958,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2017,92.335,
