DATAFLOW,LAST UPDATE,freq,currency,unit,sizeclas,nace_r2,lcstruct,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Albania,2012,78145485,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Albania,2016,121630747,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Albania,2020,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Austria,2008,257910146,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Austria,2012,244120541,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Austria,2016,241488128,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Austria,2020,254593732,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bosnia and Herzegovina,2012,439628186,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bosnia and Herzegovina,2016,434086233,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bosnia and Herzegovina,2020,409366200,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Belgium,2008,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Belgium,2012,115587883,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Belgium,2016,84172607,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Belgium,2020,82259148,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bulgaria,2008,379787331,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bulgaria,2012,417465527,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bulgaria,2016,453224865,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Bulgaria,2020,455064785,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Switzerland,2012,198543978,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Switzerland,2016,186755056,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Switzerland,2020,182749215,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Cyprus,2008,18510300,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Cyprus,2012,12577051,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Cyprus,2016,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Cyprus,2020,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Czechia,2008,813599405,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Czechia,2012,755427956,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Czechia,2016,591653833,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Czechia,2020,498906891,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Germany,2008,2912428848,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Germany,2012,2708287497,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Germany,2016,2276712412,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Germany,2020,2097173836,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Denmark,2008,120257693,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Denmark,2012,252329087,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Denmark,2016,155132616,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Denmark,2020,296160147,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 16 countries (2009-2010),2008,7787429831,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 16 countries (2009-2010),2012,7553296262,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 17 countries (2011-2013),2008,7868135308,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 17 countries (2011-2013),2012,7750226290,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 18 countries (2014),2008,7888943118,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 18 countries (2014),2012,7773644472,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2008,8054634333,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2012,7891027346,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2016,7421045790,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2020,6750954896,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (from 2023),2008,8307460803,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (from 2023),2012,8002389117,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (from 2023),2016,7522833212,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (from 2023),2020,6858007253,d
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Estonia,2008,80705477,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Estonia,2012,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Estonia,2016,91325764,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Estonia,2020,64937155,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Greece,2008,159122964,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Greece,2012,162147658,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Greece,2016,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Greece,2020,90361718,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Spain,2008,1015437228,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Spain,2012,998828561,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Spain,2016,864775059,
