DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2015,100.0,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2016,94.2,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2017,102.7,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2018,101.6,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2019,108.2,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2020,73.5,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2021,66.6,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2022,94.7,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Belgium,2023,104.9,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2015,100.0,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2016,102.2,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2017,126.7,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2018,118.0,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2019,129.3,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2020,107.9,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2021,116.0,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2022,131.9,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Bulgaria,2023,109.3,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Cyprus,2015,100.0,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Cyprus,2016,58.7,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Cyprus,2017,53.3,
ESTAT:STS_RB_A(1.0),16/01/25 11:00:00,Annual,Bankruptcy declarations,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Cyprus,2018,38.0,
