DATAFLOW,LAST UPDATE,freq,unit,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,1995,14.31,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,1996,14.84,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,1997,15.13,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,1998,15.45,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,1999,15.27,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2000,16.25,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2001,16.13,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2002,15.11,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2003,16.08,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2004,15.77,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2005,14.93,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2006,14.56,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2007,14.71,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2008,14.45,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2009,13.23,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2010,12.84,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2011,14.34,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2012,14.53,
ESTAT:NASA_10_KI(1.0),17/01/25 23:00:00,Annual,Percentage,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100),Corporations,Austria,2013,14.69,
