DATAFLOW,LAST UPDATE,freq,nace_r2,sizeclas,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Belgium,2010,1.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Belgium,2011,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2009,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2010,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2011,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2012,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2013,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2014,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2015,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2016,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2017,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2018,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2019,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2020,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2021,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2022,0.9,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Bulgaria,2023,0.8,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2008,3.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2009,1.2,
