"geo","year","hourly_wages","hicp","business_investment","low_education","middle_education","high_education","hh_index","partime_contracts","productivity_pp","productivity_1","productivity_2","realgdp_pc","tradeunion_density","training_education_l4w","unemployment"
"Austria",2009,27.9783393501805,81.7184474970038,13.23,23.8,60.2,16,0.109959406300084,23.9,98.285,101.394,101.839,38200,29.299999,16.8,5.7
"Austria",2010,27.8455735522521,83.1013183368673,12.84,23.2,60.5,16.2,0.11244998943061,24.4,99.313,98.285,101.394,38800,28.9,16.9,5.2
"Austria",2011,27.4236743438672,86.0606619341753,14.34,23.1,60.6,16.3,0.112295812119275,24.5,100.655,99.313,98.285,39800,28.299999,16.7,4.9
"Austria",2012,27.6762402088773,88.273255277957,14.53,22.4,60.8,16.9,0.10825479140764,25.2,100.247,100.655,99.313,39870,28,17.4,5.2
"Austria",2013,27.9226756673826,90.1355213423066,14.69,22.2,60.2,17.7,0.104593863202039,26,99.548,100.247,100.655,39540,27.799999,17.2,5.7
"Austria",2014,28.125,91.4538582096432,14.49,20.3,52.4,27.4,0.099938836925073,26.9,99.309,99.548,100.247,39520,27.700001,17.5,6
"Austria",2015,28.9,92.1913893242371,14.45,19.6,52.3,28.1,0.0983698002036444,27.3,100,99.309,99.548,39640,27.4,17.7,6.1
"Austria",2016,29.01852035258,93.0856458006822,14.8,19.6,51.5,28.9,0.103269850249545,27.8,100.798,100,99.309,39970,26.9,18.1,6.5
"Austria",2017,29.0641348575857,95.1599520604776,15.05,19.3,51,29.7,0.0921249891860068,27.9,101.41,100.798,100,40620,26.700001,18.9,5.9
"Austria",2018,29.3141068209847,97.1789434866783,15.4,18.9,51,30.1,0.0989077419957069,27.3,102.115,101.41,100.798,41430,26.299999,18.1,5.2
"Austria",2019,29.4447560291643,98.6263482990689,16.06,18.7,50.2,31.1,0.0929518143694299,27.2,102.737,102.115,101.41,41970,26.299999,17.3,4.8
"Belgium",2009,37.4766244526949,83.1470017555206,14.14,32.4,38.1,29.4,0.0804891571028377,23.2,94.937,96.655,97.937,35420,53.799999,12.3,8
"Belgium",2010,37.1637615900839,85.0873140534048,13.53,32.6,36.7,30.7,0.0769032269423641,23.7,96.836,94.937,96.655,36040,53,12.7,8.4
"Belgium",2011,36.7959003715416,87.9423450060057,14.43,31.9,37.7,30.4,0.0757318303759512,24.7,97.505,96.836,94.937,36270,54.200001,12.6,7.2
"Belgium",2012,36.9777888216166,90.2522405987249,14.24,31.4,37.4,31.3,0.0734710909663723,24.7,97.48,97.505,96.836,36120,54.099998,12.2,7.6
