"geo","TIME_PERIOD","hourly_wages","business_investment","education_level","hh_index","partime_contracts","productivity_pp","productivity_1","productivity_2","realgdp_pc","tradeunion_density","training_education_l4w","unemployment","job_vacancy"
"Belgium",2010,14.79,13.53,32.6,0.0769032269423641,23.7,96.836,94.937,96.655,36040,53,12.7,8.4,1.5
"Belgium",2010,14.79,13.53,36.7,0.0769032269423641,23.7,96.836,94.937,96.655,36040,53,12.7,8.4,1.5
"Belgium",2010,14.79,13.53,30.7,0.0769032269423641,23.7,96.836,94.937,96.655,36040,53,12.7,8.4,1.5
"Estonia",2010,5.96,12.85,18.2,0.0723011934437532,9.8,95.145,88.28,92.86,13190,8.1999998,16.6,16.6,1
"Estonia",2010,5.96,12.85,51.8,0.0723011934437532,9.8,95.145,88.28,92.86,13190,8.1999998,16.6,16.6,1
"Estonia",2010,5.96,12.85,30,0.0723011934437532,9.8,95.145,88.28,92.86,13190,8.1999998,16.6,16.6,1
"Estonia",2014,6.49,16.04,17.7,0.0683289262075333,8.3,101.017,98.517,98.023,15680,5.3000002,15.7,7.3,1.4
"Estonia",2014,6.49,16.04,49.7,0.0683289262075333,8.3,101.017,98.517,98.023,15680,5.3000002,15.7,7.3,1.4
"Estonia",2014,6.49,16.04,32.6,0.0683289262075333,8.3,101.017,98.517,98.023,15680,5.3000002,15.7,7.3,1.4
"Estonia",2018,7.86,16.5,17.9,0.061680458904071,11,108.664,105.744,102.796,17990,5.9000001,21,5.4,1.8
"Estonia",2018,7.86,16.5,48,0.061680458904071,11,108.664,105.744,102.796,17990,5.9000001,21,5.4,1.8
"Estonia",2018,7.86,16.5,34.1,0.061680458904071,11,108.664,105.744,102.796,17990,5.9000001,21,5.4,1.8
"Finland",2010,13.36,12.35,23.6,0.0427751701897473,13.9,101.257,97.412,103.283,39260,71.400002,25.6,8.6,1.9
"Finland",2010,13.36,12.35,44.8,0.0427751701897473,13.9,101.257,97.412,103.283,39260,71.400002,25.6,8.6,1.9
"Finland",2010,13.36,12.35,31.6,0.0427751701897473,13.9,101.257,97.412,103.283,39260,71.400002,25.6,8.6,1.9
"Finland",2014,14.1,11.01,20.1,0.0452510478104858,14.1,99.853,99.784,99.963,38300,67.800003,26.8,8.7,1.3
"Finland",2014,14.1,11.01,45.2,0.0452510478104858,14.1,99.853,99.784,99.963,38300,67.800003,26.8,8.7,1.3
