DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,1995,13.3,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,1996,14.4,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,1997,14.5,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,1998,15.4,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,1999,16.5,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2000,16.7,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2001,16.9,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2002,18.7,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2003,18.3,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2004,19.9,b
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2005,21.0,b
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2006,21.5,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2007,22.0,b
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2008,22.7,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2009,23.9,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2010,24.4,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2011,24.5,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2012,25.2,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2013,26.0,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2014,26.9,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2015,27.3,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2016,27.8,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2017,27.9,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2018,27.3,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2019,27.2,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2020,27.2,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2021,28.7,b
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2022,29.7,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2023,30.1,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Bosnia and Herzegovina,2021,3.1,b
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Bosnia and Herzegovina,2022,3.0,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Bosnia and Herzegovina,2023,2.8,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,1995,13.6,
ESTAT:LFSA_EPPGAN(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,1996,14.0,
