DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,1995,84.190,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,1996,85.722,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,1997,86.926,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,1998,89.062,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,1999,91.032,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2000,93.051,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2001,93.604,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2002,95.081,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2003,95.541,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2004,97.379,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2005,98.454,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2006,99.925,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2007,101.839,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2008,101.394,
ESTAT:NAMA_10_LP_ULC(1.0),20/01/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per person,Austria,2009,98.285,
