DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2016,101.51,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2017,104.76,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2018,106.59,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2019,108.39,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2020,110.74,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2021,113.26,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2022,120.69,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2023,127.13,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Albania,2024,130.38,d
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,1996,71.77,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,1997,72.61,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,1998,73.20,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,1999,73.58,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2000,75.02,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2001,76.74,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2002,78.04,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2003,79.05,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2004,80.60,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2005,82.30,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2006,83.69,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2007,85.53,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2008,88.29,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2009,88.64,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2010,90.14,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2011,93.35,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2012,95.75,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2013,97.77,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2014,99.20,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2015,100.00,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2016,100.97,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2017,103.22,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2018,105.41,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2019,106.98,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2020,108.47,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2021,111.46,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2022,121.07,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Austria,2023,130.40,
